,,200 Medley Relay,,,,200 Freestyle,,,,,200 Individual Medley,,,,,50 Freestyle,,,,,100 Butterfly,,,,,100 Freestyle,,,,,500 Freestyle,,,,,200 Freestyle Relay,,,,100 Backstroke,,,,,100 Breaststroke,,,,,400 Freestyle Relay,
1,1:33.75,Liberty,,1,1:39.65,Whitaker Steward,Kearney,,1,1:51.59,Connor Muran,Parkway Central,,1,20.74,Garrison Wells,Staley,,1,49.89,Graham Henderson,Liberty,,1,45.88,Cole Tobin,Liberty,,1,4:28.79,Whitaker Steward,Kearney,,1,1:25.19,Liberty,,1,49.58,Graham Henderson,Liberty,,1,56.10,Connor Muran,Parkway Central,,1,3:10.42,Liberty,
2,1:35.76,Parkway Central,,2,1:40.44,Cole Tobin,Liberty,,2,1:53.70,Whitaker Steward,Kearney,,2,21.03,Graham Henderson,Liberty,,2,51.12,Nathan Searls,Liberty,,2,45.98,Graham Henderson,Liberty,,2,4:36.10,Samuel Hennenfent,Staley,,2,1:26.89,Chaminade College Prep,,2,50.68,Brody Blatt,Parkway Central,,2,56.18,Ryan Coughenour,Rock Bridge,,2,3:11.16,Chaminade College Prep,
3,1:37.34,Chaminade College Prep,,3,1:41.48,Clark Montgomery,Webster Groves,,3,1:53.89,Samuel Hennenfent,Staley,,3,21.32,Nathan Searls,Liberty,,3,51.53,Connor Muran,Parkway Central,,3,46.24,Brody Blatt,Parkway Central,,3,4:43.09,Connor Dunker,SLUH,,3,1:27.41,Staley,,3,51.91,Clark Montgomery,Webster Groves,,3,57.14,Adam Houck,Liberty,,3,3:13.06,SLUH,
4,1:37.35,Rockhurst,,4,1:42.11,Michael Purcell,Chaminade College Prep,,4,1:56.34,Colin Cunneen,Chaminade College Prep,,4,21.44,Michael Purcell,Chaminade College Prep,,4,51.53,Carson Butler,Glendale,,4,46.61,Michael Purcell,Chaminade College Prep,,4,4:43.60,Henry Mura,Chaminade College Prep,,4,1:27.85,Parkway Central,,4,52.29,Colin Cunneen,Chaminade College Prep,,4,57.43,Gavin Waser,Rockwood Summit,,4,3:14.61,Staley,
5,1:37.87,SLUH,,5,1:42.25,Connor Dunker,SLUH,,5,1:56.64,Adam Houck,Liberty,,5,21.51,Sakutaro Yamakawa,Chaminade College Prep,,5,52.19,Whitaker Steward,Kearney,,5,47.11,Garrison Wells,Staley,,5,4:43.71,Reilly Eagan,Rockhurst,,5,1:28.38,Rockhurst,,5,52.61,Casey O'Hara,Park Hill South,,5,57.44,Nicholas Zimmerman,SLUH,,5,3:15.75,Webster Groves,
6,1:38.87,Lee's Summit,,6,1:43.57,Henry Mura,Chaminade College Prep,,6,1:56.65,Kaiden Cracraft,Notre Dame (Cape Girardeau),,6,21.57,Brody Blatt,Parkway Central,,6,52.61,Hunter Deutschmann,Parkway Central,,6,47.21,Brenen Birdsell,Raymore-Peculiar,,6,4:45.59,Giovanni (Gio) Bucci,Chaminade College Prep,,6,1:28.46,SLUH,,6,52.96,Brenen Birdsell,Raymore-Peculiar,,6,58.48,Brayden Miao,Central (Springfield),,6,3:17.37,Rockhurst,
7,1:39.61,Lee's Summit West,,7,1:43.92,Samuel Hennenfent,Staley,,7,1:56.66,Giovanni (Gio) Bucci,Chaminade College Prep,,7,21.63,Nash Wiles,Lee's Summit,,7,52.70,Henry Hassenstab,SLUH,,7,47.22,Mason Wardlow,William Chrisman,,7,4:49.18,Clark Montgomery,Webster Groves,,7,1:29.18,Webster Groves,,7,53.08,"John (JP) Costello, Jr",Chaminade College Prep,,7,58.72,Robert Jansen,Lee's Summit West,,7,3:19.43,Kirkwood,
8,1:39.83,Park Hill South,,8,1:44.62,"John (JP) Costello, Jr",Chaminade College Prep,,8,1:57.11,Aaden Lutman,Rockhurst,,8,21.68,Connor Muran,Parkway Central,,8,52.88,Jung Hoon Kim,Lee's Summit,,8,47.57,Ethan Hill,SLUH,,8,4:49.32,Keegan Brown,Kirkwood,,8,1:29.86,Lee's Summit,,8,53.28,Kaiden Cracraft,Notre Dame (Cape Girardeau),,8,59.01,Aaden Lutman,Rockhurst,,8,3:20.96,Park Hill South,
9,1:40.68,Rock Bridge,,9,1:45.13,Camden Theodos,John Burroughs,,9,1:57.17,Carson Butler,Glendale,,9,21.71,Davin Bachtel,Lee's Summit West,,9,53.00,Brayden Miao,Central (Springfield),,9,47.82,Whitaker Steward,Kearney,,9,4:49.80,Camden Theodos,John Burroughs,,9,1:30.21,Lee's Summit West,,9,54.10,Burgess Walden,Pembroke Hill,,9,59.09,Seth Augustine,Liberty North,,9,3:22.53,Ladue Horton Watkins,
10,1:40.78,Staley,,10,1:45.69,Keegan Brown,Kirkwood,,10,1:57.25,Reilly Eagan,Rockhurst,,10,21.72,Ethan Hill,SLUH,,10,53.05,Brody Blatt,Parkway Central,,10,47.84,Nash Wiles,Lee's Summit,,10,4:50.27,William Dino,SLUH,,10,1:30.82,Blue Springs South,,10,54.39,Jonathan Grant,Pembroke Hill,,10,59.38,Jung Bin Kim,Lee's Summit,,10,3:22.92,Hickman,
11,1:40.78,Pembroke Hill,,11,1:46.33,Maxwell McMillan,Marquette,,11,1:57.90,Levi Skaggs,North Kansas City,,11,21.80,Aaden Lutman,Rockhurst,,11,53.05,Langston Adams,Kirkwood,,11,47.92,Ari Elder,Park Hill South,,11,4:50.72,Maxwell McMillan,Marquette,,11,1:32.16,Pembroke Hill,,11,54.42,Mason Wardlow,William Chrisman,,11,1:00.60,Matthew Riggs,Liberty,,11,3:23.30,Blue Springs South,
12,1:40.84,Central (Springfield),,12,1:46.66,Cole Strom,Webster Groves,,12,1:58.24,Harrison Frost,Westminster Christian Academy,,12,21.84,Mason Wardlow,William Chrisman,,12,53.30,Mitchell Stanley,Parkway South,,12,47.97,Clark Montgomery,Webster Groves,,12,4:50.92,Brody Blatt,Parkway Central,,12,1:32.37,Central (Springfield),,12,54.54,Joshua Battison,Rockhurst,,12,1:00.61,Grayson Langdon,Kirkwood,,12,3:23.48,Clayton,
13,1:41.11,Nevada,,13,1:46.71,Levi Skaggs,North Kansas City,,13,1:58.48,Cole Strom,Webster Groves,,13,21.95,Isaac Wolfmeyer,Holt,,13,53.32,Miles Tomsic,Rockhurst,,13,48.36,Harrison Frost,Westminster Christian Academy,,13,4:53.82,Connor Muran,Parkway Central,,13,1:32.62,Lindbergh,,13,54.57,Cole Strom,Webster Groves,,13,1:00.95,Seamus Smith,Kirkwood,,13,3:23.69,Parkway Central,
14,1:41.35,Hickman,,14,1:46.77,Alexander Atkins,Parkway West,,14,1:58.49,Ryan Coughenour,Rock Bridge,,14,22.02,Samuel Durnal,St. Francis Borgia,,14,53.33,Magnus Yin,Clayton,,14,48.41,Alexander Atkins,Parkway West,,14,4:55.14,Seth Augustine,Liberty North,,14,1:32.89,Kirkwood,,14,54.68,Alexander Atkins,Parkway West,,14,1:00.99,Aiden Kim,Clayton,,14,3:23.90,Kearney,
