simulation_id,team,points
0,Barstow,0
0,Bolivar,0
0,Capital City,15
0,Carl Junction,12
0,Central (Cape Girardeau),0
0,Central (Springf,3
0,Central (Springfield),17
0,Central Cape Gir,40
0,Clayton,65
0,Father Tolton,159
0,Ft. Zumwalt East,13
0,Ft. Zumwalt Sout,18
0,Glendale,30
0,Grain Valley,76
0,Grandview,0
0,Greenwood,7
0,Hannibal,7
0,Holt,0
0,Incarnate Word A,4
0,Jefferson City,0
0,John Burroughs,110
0,Kearney,53
0,Ladue Horton Wat,53
0,Ladue Horton Watkins,5
0,Lebanon,33
0,Lincoln College,13
0,Lincoln College Prep,13
0,Logan-Rogersvill,0
0,Louisiana,59
0,Lutheran South,32
0,Lutheran St. Cha,0
0,Lutheran St. Charles,3
0,Mehlville,37
0,Monett,20
0,Nerinx Hall,62
0,Nevada,12
0,North Point,0
0,Notre Dame Cape,0
0,Notre Dame de Si,94
0,Notre Dame de Sion,39
0,Parkway Central,236
0,Parkway North,0
0,Parkway West,95
0,Platte County,3
0,Poplar Bluff,0
0,Principia,19
0,Rockwood Summit,85
0,STEAM Academy,0
0,Savannah,4
0,Smith-Cotton,0
0,Smithville,0
0,St. Charles West,0
0,St. Dominic,1
0,St. Michael the,66
0,St. Pius X Kansa,0
0,St. Teresa's Aca,160
0,St. Teresa's Academy,24
0,Summit Christian,0
0,Timberland,25
0,Ursuline Academy,49
0,Villa Duchesne,135
0,Visitation Acade,132
0,Visitation Academy,29
0,Washington,0
0,Webb City,0
0,Webster Groves,136
0,West Plains,22
1,Barstow,0
1,Bolivar,0
1,Capital City,17
1,Carl Junction,9
1,Central (Cape Girardeau),0
1,Central (Springf,7
1,Central (Springfield),17
1,Central Cape Gir,54
1,Clayton,71
1,Father Tolton,138
1,Ft. Zumwalt East,11
1,Ft. Zumwalt Sout,7
1,Glendale,38
1,Grain Valley,97
1,Grandview,0
1,Greenwood,8
1,Hannibal,7
1,Holt,0
1,Incarnate Word A,2
1,Jefferson City,0
1,John Burroughs,128
1,Kearney,37
1,Ladue Horton Wat,55
1,Ladue Horton Watkins,0
1,Lebanon,48
1,Lincoln College,5
1,Lincoln College Prep,10
1,Logan-Rogersvill,0
1,Louisiana,41
1,Lutheran South,32
1,Lutheran St. Cha,1
1,Lutheran St. Charles,2
1,Mehlville,34
1,Monett,11
1,Nerinx Hall,58
1,Nevada,12
1,North Point,0
1,Notre Dame Cape,1
1,Notre Dame de Si,79
1,Notre Dame de Sion,42
1,Parkway Central,227
1,Parkway North,0
1,Parkway West,77
1,Platte County,2
1,Poplar Bluff,2
1,Principia,14
1,Rockwood Summit,75
1,STEAM Academy,0
1,Savannah,4
1,Smith-Cotton,0
1,Smithville,0
1,St. Charles West,0
1,St. Dominic,0
1,St. Michael the,81
1,St. Pius X Kansa,0
1,St. Teresa's Aca,161
1,St. Teresa's Academy,27
1,Summit Christian,0
1,Timberland,18
1,Ursuline Academy,75
1,Villa Duchesne,148
1,Visitation Acade,153
1,Visitation Academy,28
