simulation_id,team,points
0,Blue Springs,15
0,Blue Springs South,94
0,Carthage,16
0,Central (St. Joseph),0
0,Cor Jesu Academy,25
0,Eureka,105
0,Francis Howell,13
0,Francis Howell Central,2
0,Francis Howell North,0
0,Ft. Zumwalt North,3
0,Hickman,74
0,Jackson,16
0,Kickapoo,0
0,Kirkwood,169
0,Lafayette (Wildwood),69
0,Lee's Summit,29
0,Lee's Summit North,41
0,Lee's Summit West,38
0,Liberty,108
0,Liberty (Wentzville),4
0,Liberty North,118
0,Lindbergh,16
0,MICDS,24
0,Marquette,89
0,Nixa,0
0,North Kansas City,0
0,Oak Park,0
0,Oakville,0
0,Ozark,18
0,Park Hill,15
0,Park Hill South,298
0,Parkway South,157
0,Pattonville,33
0,Pembroke Hill,96
0,Raymore-Peculiar,29
0,Republic,4
0,Rock Bridge,187
0,St. Joseph's Academy,248
0,Staley,77
0,Truman,0
0,Waynesville,0
0,Westminster Christian Academy,95
1,Blue Springs,16
1,Blue Springs South,54
1,Carthage,15
1,Central (St. Joseph),0
1,Cor Jesu Academy,32
1,Eureka,80
1,Francis Howell,6
1,Francis Howell Central,3
1,Francis Howell North,0
1,Ft. Zumwalt North,2
1,Hickman,85
1,Jackson,36
1,Kickapoo,0
1,Kirkwood,168
1,Lafayette (Wildwood),45
1,Lee's Summit,34
1,Lee's Summit North,38
1,Lee's Summit West,46
1,Liberty,95
1,Liberty (Wentzville),0
1,Liberty North,88
1,Lindbergh,31
1,MICDS,12
1,Marquette,117
1,Nixa,0
1,North Kansas City,0
1,Oak Park,0
1,Oakville,0
1,Ozark,16
1,Park Hill,15
1,Park Hill South,301
1,Parkway South,156
1,Pattonville,34
1,Pembroke Hill,113
1,Raymore-Peculiar,12
1,Republic,20
1,Rock Bridge,171
1,St. Joseph's Academy,291
1,Staley,87
1,Truman,3
1,Waynesville,0
1,Westminster Christian Academy,103
2,Blue Springs,13
2,Blue Springs South,70
2,Carthage,15
2,Central (St. Joseph),0
2,Cor Jesu Academy,52
2,Eureka,85
2,Francis Howell,17
2,Francis Howell Central,4
2,Francis Howell North,0
2,Ft. Zumwalt North,10
2,Hickman,80
2,Jackson,28
2,Kickapoo,0
2,Kirkwood,139
2,Lafayette (Wildwood),52
2,Lee's Summit,32
2,Lee's Summit North,29
2,Lee's Summit West,23
2,Liberty,113
2,Liberty (Wentzville),1
2,Liberty North,98
2,Lindbergh,29
2,MICDS,18
2,Marquette,115
2,Nixa,0
2,North Kansas City,0
2,Oak Park,0
2,Oakville,0
2,Ozark,29
2,Park Hill,16
2,Park Hill South,282
2,Parkway South,174
2,Pattonville,37
2,Pembroke Hill,101
2,Raymore-Peculiar,14
2,Republic,0
2,Rock Bridge,193
2,St. Joseph's Academy,288
2,Staley,73
2,Truman,2
2,Waynesville,0
2,Westminster Christian Academy,93
3,Blue Springs,17
3,Blue Springs South,60
3,Carthage,14
3,Central (St. Joseph),0
3,Cor Jesu Academy,32
3,Eureka,74
3,Francis Howell,9
3,Francis Howell Central,0
3,Francis Howell North,0
3,Ft. Zumwalt North,7
3,Hickman,65
3,Jackson,34
3,Kickapoo,0
3,Kirkwood,142
3,Lafayette (Wildwood),74
3,Lee's Summit,27
3,Lee's Summit North,38
3,Lee's Summit West,40
3,Liberty,120
3,Liberty (Wentzville),1
3,Liberty North,83
3,Lindbergh,23
3,MICDS,19
3,Marquette,106
3,Nixa,0
3,North Kansas City,0
3,Oak Park,0
3,Oakville,0
3,Ozark,15
3,Park Hill,15
3,Park Hill South,306
3,Parkway South,181
3,Pattonville,36
3,Pembroke Hill,112
3,Raymore-Peculiar,13
3,Republic,7
3,Rock Bridge,189
3,St. Joseph's Academy,274
3,Staley,96
3,Truman,0
3,Waynesville,0
3,Westminster Christian Academy,96
4,Blue Springs,19
4,Blue Springs South,40
4,Carthage,12
4,Central (St. Joseph),0
4,Cor Jesu Academy,29
4,Eureka,102
4,Francis Howell,9
4,Francis Howell Central,2
4,Francis Howell North,0
4,Ft. Zumwalt North,16
4,Hickman,86
4,Jackson,38
4,Kickapoo,0
4,Kirkwood,155
4,Lafayette (Wildwood),59
4,Lee's Summit,39
4,Lee's Summit North,36
4,Lee's Summit West,45
4,Liberty,124
4,Liberty (Wentzville),3
4,Liberty North,92
4,Lindbergh,16
4,MICDS,19
4,Marquette,110
4,Nixa,0
4,North Kansas City,0
4,Oak Park,0
4,Oakville,0
4,Ozark,6
4,Park Hill,14
4,Park Hill South,292
4,Parkway South,156
4,Pattonville,33
4,Pembroke Hill,102
4,Raymore-Peculiar,28
4,Republic,23
4,Rock Bridge,181
4,St. Joseph's Academy,269
4,Staley,92
4,Truman,4
4,Waynesville,0
4,Westminster Christian Academy,74
5,Blue Springs,8
5,Blue Springs South,46
5,Carthage,10
5,Central (St. Joseph),0
5,Cor Jesu Academy,26
5,Eureka,92
5,Francis Howell,9
5,Francis Howell Central,1
5,Francis Howell North,0
5,Ft. Zumwalt North,11
5,Hickman,87
5,Jackson,37
5,Kickapoo,0
5,Kirkwood,159
5,Lafayette (Wildwood),74
5,Lee's Summit,33
5,Lee's Summit North,54
5,Lee's Summit West,27
5,Liberty,95
5,Liberty (Wentzville),3
5,Liberty North,96
5,Lindbergh,24
5,MICDS,14
5,Marquette,102
5,Nixa,0
5,North Kansas City,0
5,Oak Park,0
5,Oakville,0
5,Ozark,25
5,Park Hill,16
5,Park Hill South,296
5,Parkway South,150
5,Pattonville,27
5,Pembroke Hill,101
5,Raymore-Peculiar,14
5,Republic,32
5,Rock Bridge,187
5,St. Joseph's Academy,287
5,Staley,111
5,Truman,0
5,Waynesville,0
5,Westminster Christian Academy,71
6,Blue Springs,12
6,Blue Springs South,39
6,Carthage,15
6,Central (St. Joseph),0
6,Cor Jesu Academy,39
6,Eureka,70
6,Francis Howell,14
6,Francis Howell Central,12
6,Francis Howell North,0
6,Ft. Zumwalt North,17
6,Hickman,73
6,Jackson,42
6,Kickapoo,0
6,Kirkwood,134
6,Lafayette (Wildwood),110
6,Lee's Summit,46
6,Lee's Summit North,35
6,Lee's Summit West,24
6,Liberty,109
6,Liberty (Wentzville),1
6,Liberty North,97
6,Lindbergh,23
6,MICDS,38
6,Marquette,120
6,Nixa,0
6,North Kansas City,0
6,Oak Park,0
6,Oakville,0
6,Ozark,7
6,Park Hill,16
6,Park Hill South,289
6,Parkway South,167
6,Pattonville,36
6,Pembroke Hill,80
6,Raymore-Peculiar,17
6,Republic,9
6,Rock Bridge,186
6,St. Joseph's Academy,274
6,Staley,62
6,Truman,4
6,Waynesville,0
6,Westminster Christian Academy,108
7,Blue Springs,14
7,Blue Springs South,39
7,Carthage,13
7,Central (St. Joseph),0
7,Cor Jesu Academy,40
7,Eureka,80
7,Francis Howell,2
7,Francis Howell Central,2
7,Francis Howell North,0
7,Ft. Zumwalt North,3
7,Hickman,67
7,Jackson,50
7,Kickapoo,0
7,Kirkwood,157
7,Lafayette (Wildwood),67
7,Lee's Summit,24
7,Lee's Summit North,51
7,Lee's Summit West,22
7,Liberty,118
7,Liberty (Wentzville),9
7,Liberty North,117
7,Lindbergh,18
7,MICDS,21
7,Marquette,107
7,Nixa,0
7,North Kansas City,0
7,Oak Park,0
7,Oakville,0
7,Ozark,26
7,Park Hill,15
7,Park Hill South,285
7,Parkway South,146
7,Pattonville,36
7,Pembroke Hill,115
7,Raymore-Peculiar,15
7,Republic,5
7,Rock Bridge,193
7,St. Joseph's Academy,293
7,Staley,83
7,Truman,3
7,Waynesville,0
7,Westminster Christian Academy,89
8,Blue Springs,7
8,Blue Springs South,46
8,Carthage,14
8,Central (St. Joseph),0
8,Cor Jesu Academy,28
8,Eureka,68
8,Francis Howell,10
8,Francis Howell Central,2
8,Francis Howell North,0
8,Ft. Zumwalt North,3
8,Hickman,85
8,Jackson,26
8,Kickapoo,0
8,Kirkwood,172
8,Lafayette (Wildwood),74
8,Lee's Summit,43
8,Lee's Summit North,45
8,Lee's Summit West,33
8,Liberty,114
8,Liberty (Wentzville),1
8,Liberty North,110
8,Lindbergh,17
8,MICDS,7
8,Marquette,122
8,Nixa,0
8,North Kansas City,0
8,Oak Park,0
8,Oakville,0
8,Ozark,17
8,Park Hill,16
8,Park Hill South,298
8,Parkway South,137
8,Pattonville,34
8,Pembroke Hill,102
8,Raymore-Peculiar,14
8,Republic,8
8,Rock Bridge,189
8,St. Joseph's Academy,308
