School,Class
Affton, 1
Barstow, 1
Battle, 1
Belton, 1
Bolivar, 1
Camdenton, 1
Capital City, 1
Carl Junction, 1
Central (Cape Girardeau), 1
Central (Springfield), 1
Clayton, 1
Columbia Independent, 1
Farmington, 1
Father Tolton, 1
Ft. Zumwalt East, 1
Ft. Zumwalt South, 1
Glendale, 1
Grain Valley, 1
Grandview, 1
Greenwood, 1
Hannibal, 1
Hillcrest, 1
Holt, 1
Incarnate Word Academy, 1
Jefferson City, 1
John Burroughs, 1
Kearney, 1
Ladue Horton Watkins, 1
Lebanon, 1
Lincoln College Prep, 1
Logan-Rogersville, 1
Louisiana, 1
Lutheran North, 1
Lutheran South, 1
Lutheran St. Charles, 1
Marshall, 1
Marshfield, 1
McCluer, 1
McCluer North, 1
Mehlville, 1
Monett, 1
Nerinx Hall, 1
Nevada, 1
New Covenant Academy, 1
North Point, 1
Notre Dame (Cape Girardeau), 1
Notre Dame (St. Louis), 1
Notre Dame de Sion, 1
Parkview, 1
Parkway Central, 1
Parkway North, 1
Parkway West, 1
Platte County, 1
Poplar Bluff, 1
Principia, 1
Raytown, 1
Raytown South, 1
Rockwood Summit, 1
Savannah, 1
Seymour, 1
Smith-Cotton, 1
Smithville, 1
St. Charles West, 1
St. Dominic, 1
St. Francis Borgia, 1
St. Michael the Archangel, 1
St. Pius X (Kansas City), 1
St. Teresa's Academy, 1
STEAM Academy, 1
Summit Christian Academy, 1
Timberland, 1
University City, 1
Ursuline Academy, 1
Van Horn, 1
Villa Duchesne, 1
Visitation Academy, 1
Warrensburg, 1
Washington, 1
Webb City, 1
Webster Groves, 1
West Plains, 1
William Chrisman, 1
Winnetonka, 1
Blue Springs, 2
Blue Springs South, 2
Carthage, 2
Central (St. Joseph), 2
Cor Jesu Academy, 2
Eureka, 2
Francis Howell Central, 2
Francis Howell, 2
Francis Howell North, 2
Ft. Zumwalt North, 2
Ft. Zumwalt West, 2
Hazelwood Central, 2
Hazelwood West, 2
Hickman, 2
Jackson, 2
Joplin, 2
Kickapoo, 2
Kirkwood, 2
Lafayette (Wildwood), 2
Lee's Summit, 2
Lee's Summit North, 2
Lee's Summit West, 2
Liberty (Wentzville), 2
Liberty, 2
Liberty North, 2
Lindbergh, 2
Marquette, 2
MICDS, 2
Nixa, 2
North Kansas City, 2
Oak Park, 2
Oakville, 2
Ozark, 2
Park Hill, 2
Park Hill South, 2
Parkway South, 2
Pattonville, 2
Pembroke Hill, 2
Raymore-Peculiar, 2
Republic, 2
Ritenour, 2
Rock Bridge, 2
St. Joseph's Academy, 2
Staley, 2
Truman, 2
Waynesville, 2
Westminster Christian Academy, 2
