simulation_id,team,points,rank
0,Belton,0,44.0
1,Belton,0,44.0
2,Belton,0,44.0
3,Belton,0,44.0
4,Belton,0,44.0
5,Belton,0,44.0
6,Belton,0,43.0
7,Belton,0,44.0
8,Belton,0,43.0
9,Belton,0,44.0
10,Belton,0,43.0
11,Belton,0,43.0
12,Belton,0,45.0
13,Belton,0,44.0
14,Belton,0,43.0
15,Belton,0,44.0
16,Belton,0,43.0
17,Belton,0,44.0
18,Belton,0,43.0
19,Belton,0,43.0
20,Belton,0,45.0
21,Belton,0,44.0
22,Belton,0,44.0
23,Belton,0,43.0
24,Belton,0,43.0
25,Belton,0,44.0
26,Belton,0,44.0
27,Belton,0,44.0
28,Belton,0,45.0
29,Belton,0,43.0
30,Belton,0,43.0
31,Belton,0,43.0
32,Belton,0,44.0
33,Belton,0,45.0
34,Belton,0,43.0
35,Belton,0,44.0
36,Belton,0,43.0
37,Belton,0,44.0
38,Belton,0,43.0
39,Belton,0,43.0
40,Belton,0,43.0
41,Belton,0,44.0
42,Belton,0,45.0
43,Belton,0,44.0
44,Belton,0,44.0
45,Belton,0,43.0
46,Belton,0,43.0
47,Belton,0,44.0
48,Belton,0,43.0
49,Belton,0,44.0
50,Belton,0,44.0
51,Belton,0,44.0
52,Belton,0,43.0
53,Belton,0,43.0
54,Belton,0,43.0
55,Belton,0,44.0
56,Belton,0,44.0
57,Belton,0,44.0
58,Belton,0,44.0
59,Belton,0,44.0
60,Belton,0,44.0
61,Belton,0,43.0
62,Belton,0,43.0
63,Belton,0,44.0
64,Belton,0,43.0
65,Belton,0,44.0
66,Belton,0,44.0
67,Belton,0,44.0
68,Belton,0,43.0
69,Belton,0,43.0
70,Belton,0,43.0
71,Belton,0,43.0
72,Belton,0,44.0
73,Belton,0,44.0
74,Belton,0,43.0
75,Belton,0,43.0
76,Belton,0,43.0
77,Belton,0,43.0
78,Belton,0,44.0
79,Belton,0,44.0
80,Belton,0,44.0
81,Belton,0,44.0
82,Belton,0,44.0
83,Belton,0,44.0
