simulation_id,team,points
0,Battle,0
0,Belton,0
0,Bolivar,0
0,Camdenton,0
0,Capital City,16
0,Carl Junction,9
0,Central (Cape Girardeau),56
0,Central (Springfield),0
0,Clayton,64
0,Father Tolton,153
0,Ft. Zumwalt East,11
0,Ft. Zumwalt South,11
0,Glendale,26
0,Grain Valley,67
0,Grandview,0
0,Greenwood,19
0,Hannibal,0
0,Hillcrest,0
0,Holt,0
0,Incarnate Word Academy,5
0,Jefferson City,0
0,John Burroughs,100
0,Kearney,45
0,Ladue Horton Watkins,54
0,Lebanon,37
0,Lincoln College Prep,2
0,Logan-Rogersville,0
0,Louisiana,78
0,Lutheran South,37
0,Lutheran St. Charles,0
0,Mehlville,36
0,Monett,9
0,Nerinx Hall,53
0,Nevada,9
0,New Covenant Academy,0
0,Notre Dame (Cape Girardeau),3
0,Notre Dame (St. Louis),0
0,Notre Dame de Sion,68
0,Parkway Central,239
0,Parkway North,3
0,Parkway West,82
0,Platte County,9
0,Poplar Bluff,6
0,Principia,4
0,Rockwood Summit,93
0,STEAM Academy,0
0,Savannah,5
0,Smithville,0
0,St. Charles West,0
0,St. Dominic,0
0,St. Michael the Archangel,37
0,St. Pius X (Kansas City),4
0,St. Teresa's Academy,155
0,Summit Christian Academy,0
0,Timberland,20
0,Ursuline Academy,50
0,Villa Duchesne,148
0,Visitation Academy,147
0,Warrensburg,0
0,Washington,0
0,Webb City,25
0,Webster Groves,157
0,West Plains,18
1,Battle,0
1,Belton,0
1,Bolivar,0
1,Camdenton,0
1,Capital City,13
1,Carl Junction,11
1,Central (Cape Girardeau),60
1,Central (Springfield),5
1,Clayton,59
1,Father Tolton,142
1,Ft. Zumwalt East,14
1,Ft. Zumwalt South,12
1,Glendale,25
1,Grain Valley,84
1,Grandview,0
1,Greenwood,4
1,Hannibal,0
1,Hillcrest,0
1,Holt,0
1,Incarnate Word Academy,0
1,Jefferson City,0
1,John Burroughs,114
1,Kearney,71
1,Ladue Horton Watkins,41
1,Lebanon,30
1,Lincoln College Prep,0
1,Logan-Rogersville,0
1,Louisiana,77
1,Lutheran South,37
1,Lutheran St. Charles,0
1,Mehlville,34
1,Monett,14
1,Nerinx Hall,58
1,Nevada,14
1,New Covenant Academy,0
1,Notre Dame (Cape Girardeau),0
1,Notre Dame (St. Louis),0
1,Notre Dame de Sion,67
1,Parkway Central,234
1,Parkway North,3
1,Parkway West,84
1,Platte County,2
1,Poplar Bluff,9
1,Principia,7
1,Rockwood Summit,114
1,STEAM Academy,0
1,Savannah,5
1,Smithville,0
1,St. Charles West,0
1,St. Dominic,0
1,St. Michael the Archangel,40
1,St. Pius X (Kansas City),0
1,St. Teresa's Academy,143
1,Summit Christian Academy,0
1,Timberland,18
1,Ursuline Academy,39
1,Villa Duchesne,143
1,Visitation Academy,151
1,Warrensburg,0
1,Washington,0
1,Webb City,37
1,Webster Groves,147
1,West Plains,8
2,Battle,0
2,Belton,0
2,Bolivar,0
2,Camdenton,0
2,Capital City,17
2,Carl Junction,5
2,Central (Cape Girardeau),57
2,Central (Springfield),5
2,Clayton,58
2,Father Tolton,151
2,Ft. Zumwalt East,12
